Numero de Ordem;Numero de Clausulas;Numero de exemplos Alvo no cubo;Numero de exemplos no cubo;Cobertura da Regra;Confianca da Regra;Lift da Regra;Significancia Estatistica da Regra;Clausula 1;Clausula 2;Clausula 3;Clausula 4
2;0;3394.0;37062.0;0.8197562540089801;0.09157627758890508;0.7828048943225538;8.770938738557419e-56;pdays = (-inf,8.5];;;
2;0;1367.0;4236.0;0.09369401251907722;0.32271010387157695;2.7585642855242702;2.1651173861879585e-274;pdays = (8.5, 203.5];;;
3;3;104.0;3928.0;0.08688151113667028;0.026476578411405296;0.22632493601021836;1.2465663603477888e-96;poutcome = unknown;month = may ;contact = unknown ;age = (37.5, 58.5]
3;3;116.0;2922.0;0.06463028908893853;0.03969883641341547;0.3393503673826672;1.9380538892107508e-49;poutcome = unknown;month = jun ;contact = unknown ;age = (37.5, 58.5]
3;2;259.0;7971.0;0.17630665103625223;0.032492786350520636;0.27775219582026633;8.412661322981011e-164;poutcome = unknown;month = may ;contact = unknown;
3;2;205.0;4523.0;0.1000420251708655;0.04532390006632766;0.387434079390951;9.653047469348316e-64;poutcome = unknown;month = jun ;contact = unknown;
3;2;215.0;3452.0;0.0763530999093141;0.06228273464658169;0.5324002110241265;2.326180645347668e-27;poutcome = unknown;month = jul ;age = (37.5, 58.5];
3;2;208.0;3109.0;0.06876645064254275;0.06690254100997105;0.571890864360333;1.0416305651309308e-20;poutcome = unknown;month = aug ;age = (37.5, 58.5];
3;1;620.0;11252.0;0.24887748556767159;0.055101315321720586;0.4710125859350179;5.19902706866119e-112;poutcome = unknown;month = may;;
3;1;395.0;5020.0;0.11103492512884032;0.07868525896414343;0.6726109364771958;5.993835401075842e-19;poutcome = unknown;month = jun;;
3;1;491.0;6641.0;0.1468890314304041;0.07393464839632585;0.6320021532702379;4.740641599617414e-31;poutcome = unknown;month = jul;;
3;1;455.0;5717.0;0.1264515272831833;0.07958719608186111;0.6803208020527554;2.4507050061942118e-20;poutcome = unknown;month = aug;;
3;1;242.0;2820.0;0.06237420096879078;0.08581560283687943;0.733561962536993;9.281974455265385e-08;poutcome = unknown;month = nov;;
3;0;3386.0;36959.0;0.8174780473778506;0.09161503287426608;0.7831361791035061;1.7306317123300702e-55;poutcome = unknown;;;
